name,Physical-flooding,Physical-wildfire,Physical-heat,Physical-subsidence,Physical-sea-level,Physical-water-scarcity,Physical-extreme-weather,Physical-infrastructure,Physical-general,Transition-mees,Transition-retrofit,Transition-standards,Transition-regulatory,Transition-disclosure,Transition-general,Legal-mees,Legal-tort-liability,Legal-access,Legal-contract,Legal-penalties,Legal-negligence,Legal-insurance,Legal-disclosure,Legal-breach,Legal-general,justification,has_any_label,number_of_labels ,labels 
SME’s Net Zero Objectives,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate exposure to transition-related risks by imposing obligations on parties to set and work towards net zero targets, develop and implement transition plans, and measure and report on their progress. It also addresses the need for regular training on climate change and sustainability, which can help align with voluntary standards and reduce the risk of non-compliance or misrepresentation. The clause requires public reporting and validation of targets, which helps in disclosing climate-related information and reducing the risk of legal claims due to failure to disclose known or foreseeable climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
SPA/ Investment Agreement: Disclosure of Climate Change Plans,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate legal exposure related to disclosure of climate risks and transition plans. It requires detailed disclosures about climate change issues, including corporate strategy, net zero targets, carbon budgets, and climate risk registers. These requirements ensure that buyers and investors are well-informed about the climate risks and transition plans of the target company, reducing the risk of legal claims arising from misrepresentation or omission of relevant climate risks. This aligns with the 'Legal-disclosure' and 'Transition-disclosure' categories, as it focuses on ensuring transparency and accountability in climate-related matters.",TRUE,2,"Transition-disclosure, Legal-disclosure"
Securing Net Zero in Planning Development Projects,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on integrating Net Zero and climate-aligned considerations into planning development projects. It includes requirements for sustainability plans, net zero objectives, and whole life-cycle carbon assessments, which help in retrofitting buildings to meet future standards and regulatory requirements. The clause also ensures compliance with local planning policies and obligations, thereby reducing exposure to regulatory changes and non-compliance penalties.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-regulatory"
Shareholder Resolutions Relating to a Company’s Climate Change Commitments,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on a company's climate change commitments and the establishment of an energy transition strategy, climate transition plan, or emissions reduction strategy. It requires the company to set short- and medium-term targets aligned with the Paris Agreement goals and to report progress annually. This helps mitigate risks related to future retrofit obligations (Transition-retrofit), as it ensures the company is taking steps to reduce emissions and align with net zero goals. It also addresses disclosure risks (Transition-disclosure) by requiring the company to report on its progress and engage with shareholders, ensuring transparency and accountability. Additionally, it helps manage risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards) by requiring the targets to align with the Paris Agreement and the Science Based Targets Initiative.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Sponsorship agreement: Net Zero Outcome,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on promoting and incentivizing net zero targets and climate action, which helps reduce exposure to future retrofit obligations and disputes (Transition-retrofit) by encouraging early action. It also ensures that the parties align with voluntary Net Zero or carbon standards (Transition-standards) through specific actions and reporting requirements. Additionally, the clause requires the disclosure of progress towards net zero targets and the potential consequences of non-compliance, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks (Transition-disclosure).",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Stakeholder Company Climate Questionnaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
Subcontractor/ Supplier Self-Assessment Climate Questionnaire (Construction),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"The clause describes a self-assessment questionnaire for subcontractors and suppliers that focuses on climate change risks. This helps organizations set and publish expectations regarding climate change, which is relevant for transition-disclosure risk. Additionally, it outlines how personal information will be used and disclosed, which is crucial for managing legal-disclosure risks, such as avoiding misrepresentation or omission of relevant climate transition information.",TRUE,2,"Transition-disclosure, Legal-disclosure"
Supplier Environmental Threshold Obligations,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"This clause helps mitigate 'Transition-retrofit' risks by requiring suppliers to develop and implement a plan for continuous improvement and quantifiable interim targets to reduce carbon emissions. It also ensures that these plans are legally enforceable and transparent, which can help avoid disputes and ensure compliance with climate-related goals. The clause also helps mitigate 'Legal-disclosure' risks by requiring suppliers to provide regular assessments and confirmations of their carbon footprint, which can help prevent legal claims related to misrepresentation or omission of climate risks. Lastly, it helps manage 'Legal-contract' risks by establishing clear conditions and obligations within supply agreements, which can reduce exposure to performance failure or frustration of contract due to climate conditions or adaptation burdens.",TRUE,3,"Transition-retrofit, Legal-contract, Legal-disclosure"
Supply: Renewable Energy Requirements,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate risks related to future retrofit obligations and aligning to voluntary Net Zero or carbon standards. By requiring the supplier/contractor to procure energy from renewable sources, it future-proofs contracts and aligns with the growing standard of using renewable energy, which is crucial for achieving net zero targets. This ensures that the supplier/contractor is prepared for future regulatory requirements and market trends, reducing the likelihood of disputes or non-compliance penalties.",TRUE,2,"Transition-retrofit, Transition-standards"
Supply: Termination for Greener Supplier,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by encouraging suppliers to improve their environmental performance and providing a mechanism for customers to switch to greener suppliers if the current supplier cannot meet the required standards. It also helps reduce exposure to performance failure or frustration of contract due to climate conditions or adaptation burdens, as it ensures that suppliers can adapt to greener standards and provides a clear process for termination if they fail to do so. The clause is focused on contractual provisions and obligations, making it relevant to legal-contract risks.",TRUE,2,"Transition-retrofit, Legal-contract"
Supply Chain Emissions Scorecard,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on supply chain sustainability and the inclusion of a scorecard for sustainability performance. This helps in reducing exposure to future retrofit obligations or disputes by clarifying roles, access, and upgrade responsibilities (Transition-retrofit). It also ensures alignment with voluntary Net Zero or carbon standards, reducing exposure to reputational or commercial risks (Transition-standards). Additionally, the detailed reporting requirements and disclosure of climate-related information help in reducing exposure to legal claims resulting from failure to disclose known or foreseeable climate risks (Transition-disclosure).",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Supply Chain Sustainable Land Use Clause and Questionnaire,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by promoting sustainable land use and management practices, which can reduce the environmental impact of supply chains and align with Net Zero targets. It also helps mitigate legal risks related to disclosure by requiring suppliers to provide accurate and detailed information about their environmental practices and impacts, which can protect against claims of misrepresentation or omission. The clause ensures that both parties are aware of and can assess the environmental performance of the supplier, thereby reducing the risk of legal disputes arising from non-compliance or inadequate disclosure.",TRUE,3,"Transition-retrofit, Transition-disclosure, Legal-disclosure"
Sustainability-Linked Loans,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by incorporating sustainability-linked loan principles into traditional financing documents. It mainstreams sustainability into lending, supporting lenders and borrowers to achieve their net zero targets. The clause includes Sustainability Performance Targets (SPTs) and Sustainability Compliance Certificates, which help ensure that the borrower is meeting its sustainability goals. This can reduce exposure to future retrofit obligations, as the borrower is committed to reducing its carbon footprint and improving sustainability. Additionally, the clause helps with disclosure by requiring the borrower to report on its sustainability performance and have it verified by a sustainability expert. This can reduce the risk of misrepresentation or omission of relevant climate transition information. Lastly, by aligning with the Loan Market Association’s Sustainability Linked Loan Principles, the clause helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Sustainability Clauses in Supply Chain Contracts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
Sustainability Enterprise Delivery Measures within Construction Works Task Orders,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"The clause focuses on establishing metrics and incentives for contractors and suppliers to work towards environmental and sustainability outcomes, particularly in the context of climate change. It includes specific Environmental Delivery Measures (EDMs) that encourage resilience to temperature increase, deconstruction for reuse, and delivering environmental net gain. These measures are designed to help contractors and suppliers align with climate-related targets and standards, thereby reducing exposure to future retrofit obligations, reputational risks, and general transition-related uncertainties.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-general"
Sustainability Key Performance Indicators in Construction Works Task Orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
Sustainability Reporting Clause for the Constitution of a Private Limited Company,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate the risk of disclosure-related legal exposure by ensuring that the company regularly reports on its sustainability performance. It mandates the production and publication of an Annual Sustainability Report, which is crucial for disclosing known or foreseeable climate risks to shareholders and the public. This aligns with the broader trend of increasing transparency and accountability in sustainability reporting, thereby reducing the risk of legal claims resulting from failure to disclose such information.",TRUE,2,"Transition-disclosure, Legal-disclosure"
Sustainable On Site Working Practices,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause focuses on sustainable working practices and the implementation of green technologies on construction sites. It helps reduce exposure to future retrofit obligations by encouraging the use of energy-efficient equipment and renewable energy sources, thus aligning with climate and sustainable standards. It also helps manage transition-related risks by promoting the adoption of green practices and aligning with voluntary Net Zero or carbon standards. Additionally, the clause requires the contractor to disclose and report on the implementation of these practices, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
TV Production: Promotion of Sustainable Consumption and Travel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"The clause helps reduce exposure to future retrofit obligations by requiring the producer to use sustainable sources for items and travel, and to promote sustainable consumption and travel on-screen. This aligns with transition-related risks as it encourages the adoption of more sustainable practices. Additionally, the clause helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks, as it mandates the promotion of sustainable practices and the use of environmentally friendly items and travel methods, which could be considered relevant climate risk information.",TRUE,2,"Transition-retrofit, Legal-disclosure"
Target Product Carbon Footprint (Schedule for Consumer Goods Contracts),0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on setting and reducing the carbon footprint of products, which is directly related to transitioning to a low-carbon economy and aligning with climate goals. It includes provisions for continuous emissions reduction, which supports the transition to net zero targets and aligns with the Paris Agreement. The clause also includes mechanisms for adjusting prices and payment terms based on the carbon footprint, which helps in managing the financial implications of meeting these targets. Additionally, it requires the reporting of carbon footprints and the agreement on offsets, which helps in disclosing and managing climate-related risks, thereby reducing exposure to legal claims related to non-disclosure or misrepresentation of climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Template Board Paper for Significant Contracts/ Transactions,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate a variety of risks related to the transition to a low-carbon economy and climate resilience. It includes detailed prompts for considering the climate impacts of significant contracts and transactions, which aligns with transition-retrofit and transition-standards. The clause ensures that the company's strategy and targets are aligned with decarbonization and net-zero goals, which is crucial for transition-standards. It also includes a section on disclosure, ensuring that the company discloses relevant climate risks and impacts, which is essential for transition-disclosure. Additionally, the clause addresses legal exposure by ensuring that the company is transparent about its climate-related risks and impacts, which helps reduce legal-disclosure risks. Finally, the clause covers general legal and transition risks, making it relevant for legal-general.",TRUE,5,"Transition-retrofit, Transition-standards, Transition-disclosure, Legal-disclosure, Legal-general"
The Net Zero Standard for Suppliers,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps reduce exposure to future regulatory changes and compliance failures related to decarbonization targets and greenhouse gas (GHG) reporting. It includes provisions for measuring, managing, and reporting emissions, which aligns with voluntary Net Zero standards and can help suppliers meet regulatory requirements. Additionally, it addresses the cascading of obligations to the supply chain, which can help in future retrofitting efforts to reduce emissions. Therefore, it falls under the categories of transition standards, retrofit obligations, and regulatory compliance.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-regulatory"
The ‘Green Supplier’ Contract – A Standardised Contractual Pricing Model,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on incentivizing suppliers to adopt environmental targets and reduce their carbon footprint, which aligns with transition-related risks. It includes specific sustainability objectives such as signing up to environmental standards, using low-carbon delivery systems, and reducing carbon footprints, which help mitigate exposure to future regulatory changes and the need for retrofitting. Additionally, the clause ensures compliance with standards and measures the performance against these targets, reducing exposure to regulatory penalties and reputational risks.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-regulatory"
"Transparent Sourcing of Greener, Fairer Renewable Energy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,FALSE,0,
